"Date","Price","Open","High","Low","Change %"
"Jan 16, 2018","305.500","306.050","315.250","305.500","-0.02%"
"Jan 15, 2018","305.550","314.750","315.250","305.550","0.00%"
"Jan 12, 2018","305.550","314.750","315.250","305.550","0.00%"
"Jan 11, 2018","305.550","306.600","306.600","305.550","-8.04%"
"Jan 10, 2018","332.250","314.750","332.250","305.600","8.70%"
"Jan 09, 2018","305.650","315.250","315.250","305.650","0.00%"
"Jan 08, 2018","305.650","314.750","315.250","305.650","-0.02%"
"Jan 05, 2018","305.700","314.750","315.250","305.700","0.00%"
"Jan 04, 2018","305.700","305.750","315.250","305.700","0.00%"
"Jan 03, 2018","305.700","314.750","315.250","305.700","-0.02%"
"Jan 02, 2018","305.750","314.750","314.750","305.600","-0.28%"
"Jan 01, 2018","306.600","306.600","306.600","306.600","0.00%"
"Dec 29, 2017","306.600","306.650","306.650","306.600","0.00%"
"Dec 28, 2017","306.600","314.750","314.750","306.600","-0.02%"
"Dec 27, 2017","306.650","314.750","314.750","306.250","0.13%"
"Dec 26, 2017","306.250","306.250","306.250","306.250","0.00%"
"Dec 25, 2017","306.250","306.250","306.250","306.250","0.00%"
"Dec 22, 2017","306.250","314.750","314.750","306.250","0.00%"
"Dec 21, 2017","306.250","306.600","314.750","306.250","-0.11%"
"Dec 20, 2017","306.600","306.600","306.600","306.600","0.00%"
"Dec 19, 2017","306.600","314.750","315.250","306.600","0.03%"
"Dec 18, 2017","306.500","314.750","314.750","306.200","-2.62%"
"Dec 15, 2017","314.750","314.750","314.750","306.250","2.78%"
"Dec 14, 2017","306.250","314.750","314.750","306.250","-0.42%"
"Dec 13, 2017","307.550","315.750","331.250","307.250","-2.29%"
"Dec 12, 2017","314.750","314.750","314.750","305.750","0.00%"
"Dec 11, 2017","314.750","314.750","330.750","305.750","2.64%"
"Dec 08, 2017","306.650","314.750","314.750","305.750","-0.02%"
"Dec 07, 2017","306.700","314.750","314.750","306.600","0.15%"
"Dec 06, 2017","306.250","314.750","314.750","305.750","-0.11%"
"Dec 05, 2017","306.600","314.750","330.250","305.750","-0.05%"
"Dec 04, 2017","306.750","314.750","330.250","305.500","0.33%"
"Dec 01, 2017","305.750","305.750","305.750","305.750","0.00%"
"Nov 30, 2017","305.750","315.250","320.250","305.500","0.08%"
"Nov 29, 2017","305.500","314.750","315.250","305.500","-0.02%"
"Nov 28, 2017","305.550","306.250","306.250","305.550","0.00%"
"Nov 27, 2017","305.550","306.250","314.750","305.550","-0.23%"
"Nov 24, 2017","306.250","306.250","306.250","306.250","0.00%"
"Nov 23, 2017","306.250","314.750","314.750","306.250","0.00%"
"Nov 22, 2017","306.250","314.750","314.750","306.250","0.20%"
"Nov 21, 2017","305.650","306.250","306.250","305.650","-0.18%"
"Nov 20, 2017","306.200","306.250","314.750","306.100","0.16%"
"Nov 17, 2017","305.700","314.750","315.250","305.700","-0.18%"
