Date,DJIA,S&P500,NASDAQ,DAX,FTSE100,HSI,KOSPI,NIFTY50
1999-10-05,10400.589844,1301.349976,2799.669922,5301.850098,6084.5,12998.889648,791.549988,
1999-10-06,10588.339844,1325.400024,2857.209961,5353.319824,6097.5,13017.980469,835.3099980000001,
1999-10-07,10537.049805,1317.640015,2860.699951,5419.310059,6200.5,13113.200195,851.150024,
1999-10-08,10649.759766,1336.02002,2886.570068,5419.259765999999,6199.399902,13112.419922,839.409973,
1999-10-11,10648.179688,1335.209961,2915.949951,5414.5,6234.799805,12992.719727,834.3900150000001,
1999-10-12,10417.05957,1313.040039,2872.429932,5358.459961,6174.899902,12759.349609,856.25,
1999-10-13,10232.160156,1285.550049,2801.27002,5295.430176,6113.399902,12475.870117,855.5200199999999,
1999-10-14,10286.610352,1283.420044,2806.840088,5220.290039,6039.399902,12486.820313,866.0200199999999,
1999-10-15,10019.709961,1247.410034,2731.830078,5184.22998,5907.299805,12299.080078,862.6300050000001,
1999-10-18,10116.280273,1254.130005,2689.149902,5156.279785,5869.200195,,826.25,
1999-10-19,10204.929688,1261.319946,2688.179932,5296.910156,5993.700195,12134.129883,811.4400019999999,
1999-10-20,10392.360352,1289.430054,2788.1298829999996,5291.22998,6006.700195,12498.55957,830.6900019999999,
1999-10-21,10297.69043,1283.609985,2801.949951,5246.490234000001,5939.299805,12523.0,818.51001,
1999-10-22,10470.25,1301.650024,2816.52002,5357.75,6058.899902,12863.080078,819.52002,
1999-10-25,10349.929688,1293.630005,2815.949951,5320.399902,6009.399902,13034.179688,798.840027,
1999-10-26,10302.129883,1281.910034,2811.469971,5388.759765999999,6092.399902,12797.379883,797.01001,
1999-10-27,10394.889648,1296.709961,2802.52002,5363.859863000001,6045.700195,12709.070313,793.419983,
1999-10-28,10622.530273,1342.439941,2875.219971,5478.890136999999,6149.100098,12758.879883,820.950012,
1999-10-29,10729.860352,1362.930054,2966.429932,5525.399902,6255.700195,13256.950195,833.51001,
1999-11-01,10648.509766,1354.119995,2967.649902,5524.919922,6284.0,13322.110352,876.5499880000001,
1999-11-02,10581.839844,1347.73999,2981.6298829999996,5546.950195,6252.0,13335.839844,890.179993,
1999-11-03,10609.05957,1354.930054,3028.51001,5560.870117,6280.799805,13257.330078,887.150024,
1999-11-04,10639.639648,1362.640015,3055.949951,5635.620117,6331.299805,13651.509766,911.820007,
1999-11-05,10704.480469,1370.22998,3102.290039,5658.100098,6356.600098,13610.269531,913.090027,
1999-11-08,10718.849609,1377.01001,3143.969971,5647.939941,6374.299805,13521.110352000002,907.599976,
1999-11-09,10617.320313,1365.280029,3125.040039,5694.72998,6435.5,13669.700195,943.4600220000001,
1999-11-10,10597.740234,1373.459961,3155.959961,5742.419922,6447.0,13975.540038999998,938.76001,
1999-11-11,10595.299805,1381.459961,3197.290039,5802.359863000001,6551.399902,14105.709961000002,947.419983,
1999-11-12,10769.320313,1396.060059,3221.149902,5791.049805,6511.600098,14189.669922,969.26001,
1999-11-15,10760.75,1394.390015,3219.540039,5859.290039,6533.600098,14562.219727000002,974.7299800000001,
1999-11-16,10932.330078,1420.069946,3295.52002,5909.52002,6583.0,14689.459961000002,1007.7199710000001,
1999-11-17,10883.089844,1410.709961,3269.389893,5870.169922,6555.700195,14704.480469,967.6400150000001,
1999-11-18,11035.700195,1424.939941,3347.110107,5950.049805,6550.799805,14721.740234,970.1900019999999,
1999-11-19,11003.889648,1422.0,3369.25,5955.970215,6482.299805,15073.099609,993.1099849999999,
1999-11-22,11089.519531,1420.939941,3392.5600590000004,5819.890136999999,6442.0,15285.030272999998,977.8800050000001,
1999-11-23,10995.629883,1404.640015,3342.8701170000004,5814.740234000001,6534.200195,15393.200195,974.0499880000001,
1999-11-24,11008.169922,1417.079956,3420.5,5818.72998,6561.799805,15307.280272999998,969.2899779999999,
1999-11-26,10988.910156,1416.619995,3447.8100590000004,5958.069824,6684.799805,15274.530272999998,949.159973,
1999-11-29,10947.919922,1407.829956,3421.3701170000004,5888.879883,6692.299805,15461.110352000002,964.26001,
1999-11-30,10877.80957,1388.910034,3336.159912,5896.040039,6597.200195,15377.19043,996.659973,
1999-12-01,10998.389648,1397.719971,3353.709961,5933.839844,6646.0,15422.519531,999.159973,
1999-12-02,11039.05957,1409.040039,3452.780029,5937.200195,6653.700195,15603.040038999998,967.900024,
1999-12-03,11286.179688,1433.300049,3520.6298829999996,6119.169922,6742.200195,15840.410156,966.590027,
1999-12-06,11225.009766,1423.329956,3546.01001,6142.189941,6694.0,16168.620116999999,998.1099849999999,
1999-12-07,11106.650391,1409.170044,3586.919922,6158.77002,6660.899902,16073.089844,999.919983,
1999-12-08,11068.120117,1403.880005,3586.080078,6115.589844,6619.399902,15989.379883000001,988.320007,
1999-12-09,11134.790039,1408.109985,3594.169922,6118.060059,6680.799805,16370.950195,980.5399779999999,
1999-12-10,11224.700195,1417.040039,3620.23999,6097.899902,6739.5,16380.209961000002,1018.169983,
1999-12-13,11192.589844,1415.219971,3658.169922,6127.200195,6710.700195,16442.109375,1013.650024,
1999-12-14,11160.169922,1403.170044,3571.6599119999996,6187.990234000001,6702.100098,16282.700195,1002.6400150000001,
1999-12-15,11225.320313,1413.329956,3621.9499509999996,6232.75,6633.799805,15825.30957,963.580017,
1999-12-16,11244.889648,1418.780029,3715.0600590000004,6341.290039,6672.0,15571.360352000002,948.570007,
1999-12-17,11257.429688,1421.030029,3753.0600590000004,6353.899902,6724.600098000001,15986.349609,949.26001,
1999-12-20,11144.269531,1418.089966,3783.8701170000004,6378.660156,6731.200195,16212.389647999998,967.0499880000001,
1999-12-21,11200.540039,1433.430054,3911.149902,6418.680176,6707.5,16248.740234,958.7999880000001,
1999-12-22,11203.599609,1436.130005,3937.3000490000004,6492.529785,6728.600098000001,16192.400391,967.830017,
1999-12-23,11405.759766,1458.339966,3969.4399409999996,6782.390137,6776.799805,16296.080078,974.159973,
1999-12-27,11391.080078,1457.099976,3975.3798829999996,6837.410156,,,1005.7299800000001,
1999-12-28,11476.709961,1457.660034,3972.110107,6861.540039,,16928.289063,1028.069946,
1999-12-29,11484.660156,1463.459961,4041.459961,6859.580078,6835.899901999999,16660.820313,,
1999-12-30,11452.860352,1464.469971,4036.8701170000004,6958.140137,6930.200195,16962.099609,,
1999-12-31,11497.120117,1469.25,4069.3100590000004,,,,,
2000-01-03,11357.509766,1455.219971,4131.149902,6750.759765999999,,17369.630859,,
2000-01-04,10997.929688,1399.420044,3901.6899409999996,6586.950195,6665.899902,17072.820313,1059.040039,
2000-01-05,11122.650391,1402.109985,3877.540039,6502.069824,6535.899902,15846.719727000002,986.3099980000001,
2000-01-06,11253.259766,1403.449951,3727.1298829999996,6474.919922,6447.200195,15153.230469,960.7899779999999,
