Date,S&P500,DJIA,DAX,FTSE100,HSI,KOSPI,NIFTY50
2008-06-23,1318.0,11842.360352,6589.459961,5667.200195,22714.960938,1715.589966,4266.399902
2008-06-24,1314.290039,11807.429688,6536.060059,5634.700195,22456.019531,1710.839966,4191.100098
2008-06-25,1321.969971,11811.830078,6617.839844,5666.100098,22635.160156,1717.790039,4252.649902
2008-06-26,1283.150024,11453.419922,6459.600098,5518.200195,22455.669922,1717.660034,4315.850098
2008-06-27,1278.380005,11346.509766,6421.910156,5530.0,22042.349609,1684.449951,4136.649902
2008-06-30,1280.0,11350.009766,6418.319824,5625.899902,22102.009766,1674.920044,4040.5500490000004
2008-07-01,1284.910034,11382.259766,6315.939941,5479.899902,,1666.459961,3896.75
2008-07-02,1261.52002,11215.509766,6305.419922,5426.299805,21704.449219,1623.599976,4093.350098
2008-07-03,1262.900024,11288.540039,6353.740234000001,5476.600098,21242.779297,1606.540039,3925.75
2008-07-07,1252.310059,11231.959961,6395.75,5512.700195,21913.060547,1579.719971,4030.0
2008-07-08,1273.699951,11384.209961,6304.410156,5440.5,21220.810547,1533.469971,3988.5500490000004
2008-07-09,1244.689941,11147.44043,6386.459961,5529.600098,21805.810547,1519.380005,4157.100098
2008-07-10,1253.390015,11229.019531,6305.0,5406.799805,21821.779297,1537.430054,4162.200195
2008-07-11,1239.48999,11100.540039,6153.299805,5261.600098,22184.550781,1567.51001,4049.0
2008-07-14,1228.300049,11055.19043,6200.25,5300.399902,22014.460938,1558.619995,4039.6999509999996
2008-07-15,1214.910034,10962.540039,6081.700195,5171.899902,21174.769531,1509.329956,3861.100098
2008-07-16,1245.359985,11239.280273,6155.370117,5150.600098,21223.5,1507.400024,3816.6999509999996
2008-07-17,1260.319946,11446.660156,6271.27002,5286.299805,21734.720703,1525.560059,3947.1999509999996
2008-07-18,1260.680054,11496.570313,6382.649902,5376.399902,21874.189453,1509.98999,4092.25
2008-07-21,1260.0,11467.339844,6424.839844,5404.299805,22532.900391,1562.920044,4159.5
2008-07-22,1277.0,11602.5,6442.790039,5364.200195,22527.480469,1561.22998,4240.100098
2008-07-23,1282.189941,11632.379883,6536.089844,5449.899902,23134.550781,1591.76001,4476.799805
2008-07-24,1252.540039,11349.280273,6440.700195,5362.299805,23087.720703,1626.140015,4433.549805
2008-07-25,1257.76001,11370.69043,6436.709961,5352.600098,22740.710938,1597.930054,4311.850098
2008-07-28,1234.369995,11131.080078,6351.149902,5312.600098,22687.210938,1598.290039,4332.100098
2008-07-29,1263.199951,11397.55957,6398.799805,5319.200195,22258.0,1567.199951,4189.850098
2008-07-30,1284.26001,11583.69043,6460.120117,5420.700195,22690.599609,1577.699951,4313.549805
2008-07-31,1267.380005,11378.019531,6479.560059,5411.899902,22731.099609,1594.670044,4332.950195
2008-08-01,1260.310059,11326.320313,6396.459961,5354.700195,22862.599609,1573.77002,4413.549805
2008-08-04,1249.01001,11284.150391,6349.810059,5320.200195,22514.919922,1543.050049,4395.350098
2008-08-05,1284.880005,11615.769531,6518.700195,5454.5,21949.75,1535.540039,4502.850098
2008-08-06,1289.189941,11656.070313,6561.390136999999,5486.100098,,1578.709961,4517.549805
2008-08-07,1266.069946,11431.429688,6543.490234000001,5477.5,22104.199219,1564.0,4523.850098
2008-08-08,1296.319946,11734.320313,6561.649902,5489.200195,21885.210938,1568.719971,4529.5
2008-08-11,1305.319946,11782.349609,6609.629883,5541.799805,21859.339844,1581.089966,4620.399902
2008-08-12,1289.589966,11642.469727,6585.870117,5534.5,21640.890625,1577.119995,4552.25
2008-08-13,1285.829956,11532.959961,6422.189941,5448.600098,21293.320313,1562.719971,4529.049805
2008-08-14,1292.930054,11615.929688,6442.209961,5497.5,21392.710938,1572.189941,4430.700195
